Temperatura A,Temperatura B, Diferencia,Voltaje
44.77,24.07,20.7,0.12
44.77,25.29,19.48,0.13
44.59,22.82,21.77,0.12
44.59,22.82,21.77,0.13
44.59,24.07,20.52,0.12
44.77,22.82,21.95,0.13
44.40,22.82,21.58,0.13
44.40,24.07,20.33,0.12
44.59,24.07,20.52,0.13
44.40,25.29,19.11,0.13
44.40,24.07,20.33,0.12
44.21,24.07,20.14,0.12
44.59,25.29,19.3,0.12
44.40,24.07,20.33,0.12
44.40,22.82,21.58,0.12
44.21,22.82,21.39,0.13
44.40,24.07,20.33,0.13
44.21,24.07,20.14,0.13
44.21,24.07,20.14,0.12
44.02,24.07,19.95,0.13
44.02,24.07,19.95,0.12
44.21,22.82,21.39,0.13
44.02,24.07,19.95,0.13
44.21,22.82,21.39,0.12
44.02,22.82,21.2,0.13
44.02,24.07,19.95,0.12
44.02,25.29,18.73,0.12
44.21,22.82,21.39,0.12
43.83,21.55,22.28,0.13
43.83,24.07,19.76,0.12
43.83,24.07,19.76,0.12
44.02,24.07,19.95,0.12
43.83,22.82,21.01,0.13
43.64,22.82,20.82,0.12
43.83,22.82,21.01,0.13
43.83,22.82,21.01,0.12
43.64,24.07,19.57,0.13
43.83,24.07,19.76,0.12
43.64,24.07,19.57,0.12
43.64,22.82,20.82,0.11
43.64,24.07,19.57,0.12
43.45,24.07,19.38,0.12
43.64,25.29,18.35,0.12
43.45,22.82,20.63,0.12
43.45,22.82,20.63,0.13
43.64,21.55,22.09,0.12
43.45,24.07,19.38,0.12
43.64,21.55,22.09,0.13
43.26,24.07,19.19,0.12
43.45,24.07,19.38,0.12
43.64,22.82,20.82,0.12
43.26,24.07,19.19,0.12
43.26,24.07,19.19,0.12
43.26,24.07,19.19,0.13
43.26,24.07,19.19,0.12
43.26,24.07,19.19,0.12
43.07,25.29,17.78,0.12
43.07,24.07,19.0,0.12
43.26,22.82,20.44,0.12
43.26,22.82,20.44,0.13
43.45,24.07,19.38,0.12
43.07,21.55,21.52,0.12
43.26,24.07,19.19,0.12
42.88,22.82,20.06,0.12
43.07,24.07,19.0,0.11
42.88,24.07,18.81,0.12
43.07,22.82,20.25,0.11
42.69,22.82,19.87,0.12
43.07,21.55,21.52,0.12
42.88,22.82,20.06,0.12
42.88,25.29,17.59,0.12
42.49,25.29,17.2,0.11
42.69,24.07,18.62,0.12
42.69,22.82,19.87,0.12
42.88,22.82,20.06,0.12
42.49,20.25,22.24,0.12
42.88,20.25,22.63,0.12
42.69,24.07,18.62,0.12
42.49,21.55,20.94,0.11
42.30,24.07,18.23,0.12
42.49,24.07,18.42,0.12
42.69,21.55,21.14,0.12
42.30,22.82,19.48,0.12
42.30,24.07,18.23,0.11
42.49,22.82,19.67,0.12
42.49,24.07,18.42,0.12
42.69,22.82,19.87,0.12
42.49,24.07,18.42,0.12
42.30,22.82,19.48,0.12
42.30,22.82,19.48,0.11
42.49,24.07,18.42,0.12
42.30,24.07,18.23,0.11
42.30,24.07,18.23,0.12
42.30,24.07,18.23,0.12
42.30,24.07,18.23,0.11
42.30,21.55,20.75,0.12
42.10,22.82,19.28,0.12
42.30,22.82,19.48,0.12
42.10,24.07,18.03,0.12
42.10,22.82,19.28,0.11
42.10,22.82,19.28,0.12
42.30,22.82,19.48,0.12
42.30,22.82,19.48,0.12
42.10,22.82,19.28,0.11
41.91,21.55,20.36,0.12
41.91,22.82,19.09,0.12
41.71,22.82,18.89,0.11
41.91,22.82,19.09,0.12
41.71,21.55,20.16,0.12
41.71,21.55,20.16,0.12
41.71,21.55,20.16,0.12
41.91,24.07,17.84,0.12
41.71,21.55,20.16,0.12
42.10,24.07,18.03,0.12
41.52,21.55,19.97,0.12
41.71,24.07,17.64,0.12
41.52,21.55,19.97,0.12
41.52,21.55,19.97,0.11
41.52,22.82,18.7,0.11
41.32,22.82,18.5,0.12
41.71,22.82,18.89,0.12
41.52,21.55,19.97,0.11
41.32,22.82,18.5,0.12
41.32,22.82,18.5,0.12
41.71,22.82,18.89,0.12
41.52,22.82,18.7,0.11
41.52,22.82,18.7,0.11
41.13,21.55,19.58,0.11
41.13,24.07,17.06,0.11
41.52,24.07,17.45,0.12
41.52,21.55,19.97,0.11
41.32,21.55,19.77,0.12
41.32,21.55,19.77,0.12
41.52,24.07,17.45,0.11
41.32,24.07,17.25,0.11
41.13,24.07,17.06,0.11
41.32,24.07,17.25,0.12
41.13,22.82,18.31,0.11
41.32,22.82,18.5,0.12
41.13,21.55,19.58,0.11
40.93,21.55,19.38,0.11
41.13,21.55,19.58,0.11
40.93,24.07,16.86,0.11
41.13,21.55,19.58,0.11
40.73,22.82,17.91,0.12
40.93,22.82,18.11,0.12
40.93,22.82,18.11,0.12
40.93,21.55,19.38,0.12
41.13,22.82,18.31,0.11
40.73,24.07,16.66,0.11
40.73,20.25,20.48,0.12
40.73,22.82,17.91,0.10
40.93,22.82,18.11,0.11
40.73,22.82,17.91,0.11
40.73,22.82,17.91,0.11
40.73,22.82,17.91,0.11
40.54,22.82,17.72,0.11
40.73,22.82,17.91,0.11
40.54,22.82,17.72,0.10
40.73,21.55,19.18,0.11
40.73,21.55,19.18,0.11
40.54,21.55,18.99,0.11
40.54,22.82,17.72,0.12
40.54,21.55,18.99,0.11
40.54,21.55,18.99,0.11
40.34,22.82,17.52,0.12
40.73,22.82,17.91,0.11
40.73,20.25,20.48,0.12
40.54,22.82,17.72,0.11
40.14,20.25,19.89,0.11
40.54,22.82,17.72,0.11
40.54,21.55,18.99,0.11
40.34,21.55,18.79,0.11
40.14,22.82,17.32,0.11
40.14,21.55,18.59,0.11
40.14,22.82,17.32,0.11
40.34,21.55,18.79,0.11
39.94,20.25,19.69,0.11
40.34,21.55,18.79,0.11
40.14,21.55,18.59,0.12
40.14,21.55,18.59,0.11
40.14,21.55,18.59,0.11
40.14,21.55,18.59,0.11
39.74,22.82,16.92,0.11
40.14,22.82,17.32,0.11
40.14,22.82,17.32,0.11
39.94,21.55,18.39,0.11
39.74,21.55,18.19,0.11
39.94,22.82,17.12,0.11
39.94,24.07,15.87,0.11
39.94,21.55,18.39,0.11
39.74,22.82,16.92,0.10
39.74,22.82,16.92,0.11
39.74,22.82,16.92,0.10
39.94,22.82,17.12,0.11
39.74,22.82,16.92,0.11
39.74,21.55,18.19,0.11
39.74,21.55,18.19,0.11
39.74,21.55,18.19,0.10
39.54,22.82,16.72,0.11
39.94,21.55,18.39,0.11
39.94,21.55,18.39,0.12
39.74,21.55,18.19,0.11
